Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Coby White,CHI,NOP,L,34.78,4,13,0.308,0,5,0.0,2,2,1.0,0,8,8,6,1,1,4,1,10,6.4,2024-10-23
Malik Beasley,DET,IND,L,27.83,5,13,0.385,2,6,0.333,2,3,0.667,0,3,3,1,0,0,1,2,14,6.3,2024-10-23
Jeremiah Robinson-Earl,NOP,CHI,W,6.72,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,1,1,0,0,1,6,6.3,2024-10-23
Grayson Allen,PHO,LAC,W,21.38,2,7,0.286,2,6,0.333,2,2,1.0,0,1,1,3,1,1,1,2,8,6.2,2024-10-23
Nic Claxton,BRK,ATL,L,15.42,3,4,0.75,0,0,0.0,1,4,0.25,0,5,5,0,1,1,0,3,7,6.2,2024-10-23
Jock Landale,HOU,CHO,L,10.47,2,4,0.5,1,1,1.0,0,0,0.0,3,0,3,2,0,0,0,1,5,6.1,2024-10-23
Anfernee Simons,POR,GSW,L,32.62,5,12,0.417,2,7,0.286,3,3,1.0,0,2,2,3,1,0,5,3,15,6.1,2024-10-23
Jabari Smith,HOU,CHO,L,33.13,2,7,0.286,2,5,0.4,2,3,0.667,1,4,5,1,0,1,0,2,8,6.0,2024-10-23
Ayo Dosunmu,CHI,NOP,L,24.97,4,6,0.667,0,2,0.0,0,0,0.0,0,4,4,3,0,0,2,2,8,5.9,2024-10-23
Dorian Finney-Smith,BRK,ATL,L,29.55,3,10,0.3,2,7,0.286,0,0,0.0,3,5,8,1,1,2,1,5,8,5.9,2024-10-23
Nick Richards,CHO,HOU,W,23.92,3,4,0.75,0,0,0.0,0,2,0.0,2,6,8,1,0,2,1,5,6,5.9,2024-10-23
Rayan Rupert,POR,GSW,L,16.95,3,4,0.75,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,2,6,5.9,2024-10-23
Ziaire Williams,BRK,ATL,L,15.85,3,6,0.5,2,3,0.667,1,2,0.5,1,2,3,1,0,0,1,2,9,5.8,2024-10-23
Miles Bridges,CHO,HOU,W,32.28,5,11,0.455,0,3,0.0,0,0,0.0,0,9,9,2,1,1,4,1,10,5.7,2024-10-23
Jamison Battle,TOR,CLE,L,16.37,2,4,0.5,2,4,0.5,0,0,0.0,0,2,2,1,0,1,0,1,6,5.6,2024-10-23
Jonathan Mogbo,TOR,CLE,L,11.22,2,4,0.5,1,2,0.5,2,2,1.0,0,0,0,0,1,0,0,1,7,5.6,2024-10-23
Tobias Harris,DET,IND,L,35.78,6,13,0.462,1,6,0.167,0,0,0.0,1,1,2,1,0,1,2,3,13,5.5,2024-10-23
Brandon Miller,CHO,HOU,W,10.73,2,4,0.5,1,2,0.5,1,1,1.0,1,0,1,1,1,0,1,0,6,5.4,2024-10-23
Grant Williams,CHO,HOU,W,24.82,3,6,0.5,2,4,0.5,0,0,0.0,1,3,4,1,1,1,2,4,8,5.4,2024-10-23
Marcus Smart,MEM,UTA,W,26.03,3,11,0.273,1,6,0.167,4,4,1.0,3,2,5,1,1,0,2,4,11,5.3,2024-10-23
Ben Simmons,BRK,ATL,L,24.2,3,4,0.75,0,0,0.0,0,0,0.0,2,3,5,8,0,1,6,5,6,5.0,2024-10-23
Ricky Council,PHI,MIL,L,9.0,1,2,0.5,1,1,1.0,4,4,1.0,0,1,1,0,0,0,1,1,7,4.9,2024-10-23
Kai Jones,LAC,PHO,L,13.0,3,5,0.6,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,2,6,4.9,2024-10-23
Bogdan Bogdanović,ATL,BRK,W,27.83,2,6,0.333,2,6,0.333,2,2,1.0,0,2,2,2,0,2,2,3,8,4.8,2024-10-23
Seth Curry,CHO,HOU,W,26.33,2,5,0.4,2,3,0.667,1,3,0.333,0,2,2,1,0,1,0,2,7,4.7,2024-10-23
Lonzo Ball,CHI,NOP,L,13.65,2,4,0.5,1,3,0.333,0,0,0.0,0,2,2,4,0,0,1,2,5,4.6,2024-10-23
Oso Ighodaro,PHO,LAC,W,12.23,1,1,1.0,0,0,0.0,0,0,0.0,2,4,6,0,0,1,0,1,2,4.6,2024-10-23
Monte Morris,PHO,LAC,W,12.55,2,5,0.4,0,2,0.0,1,2,0.5,0,1,1,2,1,0,0,0,5,4.6,2024-10-23
Brice Sensabaugh,UTA,MEM,L,12.32,1,2,0.5,0,0,0.0,1,2,0.5,2,0,2,0,2,0,0,1,3,4.6,2024-10-23
Ron Holland,DET,IND,L,15.3,2,6,0.333,0,3,0.0,2,2,1.0,1,2,3,0,2,0,1,1,6,4.5,2024-10-23
Kevon Looney,GSW,POR,W,14.08,0,2,0.0,0,0,0.0,2,2,1.0,3,3,6,2,1,1,1,3,2,4.5,2024-10-23
Moussa Diabaté,CHO,HOU,W,14.98,1,4,0.25,0,0,0.0,0,0,0.0,2,3,5,0,1,2,0,0,2,4.3,2024-10-23
Tari Eason,HOU,CHO,L,12.88,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,2,2,0,0,1,2,4.3,2024-10-23
James Wiseman,IND,DET,W,4.63,2,4,0.5,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,0,6,4.3,2024-10-23
John Collins,UTA,MEM,L,18.32,5,12,0.417,0,3,0.0,1,1,1.0,1,4,5,0,1,1,2,5,11,4.2,2024-10-23
Sam Merrill,CLE,TOR,W,16.07,2,4,0.5,1,3,0.333,2,2,1.0,0,0,0,1,0,0,0,4,7,4.1,2024-10-23
Bruno Fernando,TOR,CLE,L,15.42,3,6,0.5,0,0,0.0,0,0,0.0,2,5,7,1,0,0,1,4,6,4.0,2024-10-23
Tyler Smith,MIL,PHI,W,2.22,2,3,0.667,1,2,0.5,0,0,0.0,1,0,1,0,0,0,0,1,5,4.0,2024-10-23
Patrick Williams,CHI,NOP,L,24.07,2,7,0.286,1,4,0.25,1,2,0.5,2,1,3,3,0,1,2,0,6,4.0,2024-10-23
Jared McCain,PHI,MIL,L,3.87,2,3,0.667,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,4,3.7,2024-10-23
Dennis Schröder,BRK,ATL,L,34.33,5,16,0.313,2,6,0.333,1,2,0.5,0,3,3,7,1,0,5,4,13,3.6,2024-10-23
Jonathan Isaac,ORL,MIA,W,11.45,1,4,0.25,1,2,0.5,0,2,0.0,2,1,3,0,1,2,0,1,3,3.5,2024-10-23
Vit Krejci,ATL,BRK,W,11.32,1,2,0.5,0,1,0.0,1,1,1.0,0,1,1,2,0,0,0,1,3,3.3,2024-10-23
Jose Alvarado,NOP,CHI,W,12.8,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,3,1,0,0,3,3,3.2,2024-10-23
Jake LaRavia,MEM,UTA,W,16.15,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,1,0,2,5,3.2,2024-10-23
Royce O'Neale,PHO,LAC,W,24.22,2,5,0.4,1,3,0.333,0,0,0.0,1,4,5,1,1,1,3,1,5,3.2,2024-10-23
Isaac Okoro,CLE,TOR,W,19.03,1,2,0.5,0,0,0.0,1,2,0.5,0,2,2,2,0,1,1,1,3,2.9,2024-10-23
Gui Santos,GSW,POR,W,5.12,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,1,0,0,0,1,3,2.9,2024-10-23
