Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Tyrese Maxey,PHI,PHO,L,40.93,12,22,0.545,6,14,0.429,2,3,0.667,0,3,3,2,1,1,0,3,32,23.8,2024-11-04
Naji Marshall,DAL,IND,L,33.72,8,9,0.889,2,2,1.0,2,2,1.0,1,4,5,6,1,0,0,2,20,23.2,2024-11-04
LeBron James,LAL,DET,L,40.0,7,16,0.438,1,2,0.5,5,5,1.0,1,7,8,11,2,0,1,1,20,22.7,2024-11-04
Damian Lillard,MIL,CLE,L,37.33,11,22,0.5,5,9,0.556,9,9,1.0,1,1,2,7,0,0,8,1,36,22.5,2024-11-04
Jalen Brunson,NYK,HOU,L,42.42,9,24,0.375,2,4,0.5,9,9,1.0,1,2,3,8,1,0,1,2,29,21.9,2024-11-04
Jimmy Butler,MIA,SAC,L,35.9,9,19,0.474,1,2,0.5,8,11,0.727,1,1,2,6,2,0,1,1,27,21.9,2024-11-04
DeMar DeRozan,SAC,MIA,W,35.98,10,18,0.556,1,2,0.5,5,5,1.0,1,2,3,6,0,2,1,4,26,21.7,2024-11-04
Coby White,CHI,UTA,L,34.28,10,19,0.526,6,9,0.667,2,2,1.0,0,4,4,6,2,0,3,4,28,21.5,2024-11-04
Jakob Poeltl,TOR,DEN,L,32.45,11,18,0.611,0,0,0.0,2,4,0.5,6,5,11,3,3,0,2,6,24,21.4,2024-11-04
Gradey Dick,TOR,DEN,L,35.68,10,20,0.5,4,9,0.444,2,2,1.0,0,2,2,5,3,2,4,0,26,20.5,2024-11-04
Amir Coffey,LAC,SAS,W,25.53,8,10,0.8,5,6,0.833,0,0,0.0,1,5,6,1,1,0,0,2,21,20.3,2024-11-04
Jonas Valančiūnas,WAS,GSW,L,21.42,6,10,0.6,0,0,0.0,4,4,1.0,3,9,12,7,0,0,1,1,16,19.7,2024-11-04
Bam Adebayo,MIA,SAC,L,35.95,7,15,0.467,0,1,0.0,2,5,0.4,3,5,8,5,3,4,0,1,16,19.6,2024-11-04
Stephen Curry,GSW,WAS,W,24.08,7,15,0.467,4,9,0.444,6,6,1.0,1,2,3,6,0,0,2,1,24,19.4,2024-11-04
Pascal Siakam,IND,DAL,W,35.58,10,16,0.625,1,2,0.5,2,2,1.0,1,5,6,4,0,0,1,1,23,19.4,2024-11-04
A.J. Green,MIL,CLE,L,33.97,7,9,0.778,7,9,0.778,0,0,0.0,0,6,6,1,0,0,1,0,21,19.0,2024-11-04
Dalano Banton,POR,NOP,W,12.0,8,9,0.889,2,3,0.667,2,2,1.0,0,1,1,1,2,0,1,0,20,18.9,2024-11-04
Jaden Ivey,DET,LAL,W,35.33,10,16,0.625,1,2,0.5,5,7,0.714,1,3,4,4,1,1,4,3,26,18.9,2024-11-04
Norman Powell,LAC,SAS,W,34.05,7,15,0.467,5,8,0.625,4,5,0.8,0,1,1,3,3,0,1,1,23,18.9,2024-11-04
OG Anunoby,NYK,HOU,L,39.58,7,14,0.5,5,6,0.833,2,3,0.667,1,5,6,2,1,2,0,2,21,18.8,2024-11-04
Ja Morant,MEM,BRK,L,32.57,10,22,0.455,1,3,0.333,4,4,1.0,1,4,5,9,0,0,3,0,25,18.8,2024-11-04
Jordan Poole,WAS,GSW,L,33.72,8,20,0.4,2,10,0.2,6,7,0.857,0,1,1,3,3,4,1,3,24,18.8,2024-11-04
Kyrie Irving,DAL,IND,L,39.62,11,21,0.524,3,7,0.429,2,2,1.0,2,3,5,4,0,0,2,3,27,18.6,2024-11-04
Draymond Green,GSW,WAS,W,28.88,5,7,0.714,3,4,0.75,5,7,0.714,1,7,8,5,0,1,2,2,18,18.5,2024-11-04
Jalen Williams,OKC,ORL,W,34.53,10,17,0.588,3,7,0.429,0,0,0.0,0,4,4,1,3,1,1,3,23,18.5,2024-11-04
Collin Sexton,UTA,CHI,W,34.28,7,18,0.389,4,7,0.571,6,6,1.0,0,2,2,5,1,1,1,2,24,18.2,2024-11-04
Russell Westbrook,DEN,TOR,W,34.05,6,10,0.6,1,5,0.2,8,10,0.8,1,5,6,6,1,1,4,4,21,18.1,2024-11-04
Jarrett Allen,CLE,MIL,W,34.7,7,14,0.5,0,0,0.0,0,2,0.0,1,14,15,6,2,1,0,0,14,18.0,2024-11-04
Onyeka Okongwu,ATL,BOS,L,22.87,8,12,0.667,0,3,0.0,2,2,1.0,5,5,10,0,2,0,1,2,18,18.0,2024-11-04
Derrick White,BOS,ATL,W,29.32,8,16,0.5,4,9,0.444,1,2,0.5,2,4,6,6,2,1,3,3,21,17.9,2024-11-04
De'Aaron Fox,SAC,MIA,W,37.05,11,21,0.524,3,6,0.5,3,4,0.75,2,4,6,5,0,0,4,4,28,17.8,2024-11-04
Anfernee Simons,POR,NOP,W,34.1,10,17,0.588,3,8,0.375,1,1,1.0,0,1,1,4,1,0,2,1,24,17.8,2024-11-04
Deandre Ayton,POR,NOP,W,31.85,9,14,0.643,1,1,1.0,0,2,0.0,5,8,13,0,1,0,1,1,19,17.5,2024-11-04
James Harden,LAC,SAS,W,33.33,6,10,0.6,3,5,0.6,2,4,0.5,2,6,8,4,1,3,2,3,17,17.5,2024-11-04
Tyler Herro,MIA,SAC,L,33.75,9,18,0.5,5,11,0.455,4,5,0.8,0,6,6,3,0,1,4,2,27,17.4,2024-11-04
Buddy Hield,GSW,WAS,W,27.65,7,14,0.5,3,8,0.375,3,4,0.75,0,5,5,2,2,1,0,2,20,17.4,2024-11-04
Fred VanVleet,HOU,NYK,W,35.78,8,14,0.571,1,5,0.2,2,2,1.0,1,1,2,5,2,1,1,3,19,17.4,2024-11-04
Bobby Portis,MIL,CLE,L,38.88,10,21,0.476,0,2,0.0,1,2,0.5,3,15,18,1,0,3,1,3,21,17.1,2024-11-04
Cameron Johnson,BRK,MEM,W,36.05,8,11,0.727,3,4,0.75,1,2,0.5,1,2,3,2,0,0,0,2,20,17.0,2024-11-04
Kyle Lowry,PHI,PHO,L,27.77,5,8,0.625,3,6,0.5,0,0,0.0,2,0,2,7,1,1,0,1,13,17.0,2024-11-04
Julian Champagnie,SAS,LAC,L,38.22,7,12,0.583,5,10,0.5,2,3,0.667,0,5,5,2,0,0,0,3,21,16.7,2024-11-04
Anthony Edwards,MIN,CHO,W,29.08,6,11,0.545,4,6,0.667,5,7,0.714,0,5,5,1,1,0,1,1,21,16.7,2024-11-04
Shai Gilgeous-Alexander,OKC,ORL,W,35.07,8,16,0.5,1,3,0.333,4,4,1.0,0,6,6,9,1,0,4,4,21,16.5,2024-11-04
Brandon Ingram,NOP,POR,L,33.45,11,24,0.458,1,8,0.125,4,5,0.8,0,5,5,7,1,0,4,3,27,16.4,2024-11-04
Brandon Boston,NOP,POR,L,36.82,9,15,0.6,2,6,0.333,0,0,0.0,0,3,3,4,2,1,2,3,20,16.3,2024-11-04
Domantas Sabonis,SAC,MIA,W,37.92,6,12,0.5,2,4,0.5,2,2,1.0,3,13,16,7,0,0,3,4,16,16.3,2024-11-04
Guerschon Yabusele,PHI,PHO,L,30.02,6,14,0.429,5,11,0.455,2,2,1.0,3,4,7,6,0,1,2,4,19,16.2,2024-11-04
Ochai Agbaji,TOR,DEN,L,32.9,6,11,0.545,2,4,0.5,2,3,0.667,1,4,5,4,2,0,0,3,16,15.8,2024-11-04
Bradley Beal,PHO,PHI,W,34.03,7,10,0.7,3,5,0.6,0,0,0.0,0,5,5,3,2,0,2,2,17,15.6,2024-11-04
Michael Porter,DEN,TOR,W,36.25,7,16,0.438,3,10,0.3,2,3,0.667,4,5,9,3,1,1,2,2,19,15.5,2024-11-04
Jalen Suggs,ORL,OKC,L,34.98,6,13,0.462,1,4,0.25,6,6,1.0,0,6,6,6,0,1,2,4,19,15.4,2024-11-04
Cade Cunningham,DET,LAL,W,35.8,7,17,0.412,1,5,0.2,2,5,0.4,2,9,11,11,0,0,3,1,17,15.1,2024-11-04
Carlton Carrington,WAS,GSW,L,32.98,7,12,0.583,1,3,0.333,1,1,1.0,0,8,8,7,0,0,1,5,16,14.7,2024-11-04
Toumani Camara,POR,NOP,W,36.52,6,12,0.5,2,5,0.4,2,4,0.5,2,3,5,4,1,1,0,4,16,14.4,2024-11-04
Al Horford,BOS,ATL,W,22.0,3,4,0.75,1,2,0.5,2,2,1.0,1,4,5,3,2,2,0,1,9,14.4,2024-11-04
Walker Kessler,UTA,CHI,W,31.65,6,7,0.857,0,0,0.0,0,2,0.0,6,10,16,2,0,3,3,5,12,14.4,2024-11-04
Jerami Grant,POR,NOP,W,35.72,5,15,0.333,2,7,0.286,4,4,1.0,1,2,3,4,2,1,0,0,16,14.3,2024-11-04
Royce O'Neale,PHO,PHI,W,23.67,6,9,0.667,3,4,0.75,0,0,0.0,3,2,5,0,1,1,0,3,15,14.3,2024-11-04
Chris Paul,SAS,LAC,L,33.5,6,11,0.545,2,7,0.286,0,0,0.0,0,6,6,10,2,0,4,3,14,14.3,2024-11-04
Peyton Watson,DEN,TOR,W,30.57,4,7,0.571,1,2,0.5,7,9,0.778,1,2,3,1,2,2,1,5,16,14.3,2024-11-04
Tim Hardaway,DET,LAL,W,32.18,7,12,0.583,4,8,0.5,1,1,1.0,0,0,0,1,0,0,0,0,19,14.1,2024-11-04
Jalen Duren,DET,LAL,W,23.85,5,7,0.714,0,0,0.0,1,1,1.0,8,6,14,1,1,1,2,5,11,13.9,2024-11-04
Evan Mobley,CLE,MIL,W,31.85,6,15,0.4,1,3,0.333,4,6,0.667,1,4,5,3,0,3,0,1,17,13.8,2024-11-04
Payton Pritchard,BOS,ATL,W,25.48,7,12,0.583,3,8,0.375,1,1,1.0,0,3,3,4,1,0,3,1,18,13.7,2024-11-04
Goga Bitadze,ORL,OKC,L,26.73,5,8,0.625,0,1,0.0,1,2,0.5,3,6,9,4,1,1,1,2,11,13.6,2024-11-04
Davion Mitchell,TOR,DEN,L,30.43,5,11,0.455,2,7,0.286,1,1,1.0,0,1,1,8,1,0,0,2,13,13.4,2024-11-04
Amen Thompson,HOU,NYK,W,33.37,5,8,0.625,0,1,0.0,2,2,1.0,1,8,9,3,1,0,0,3,12,13.4,2024-11-04
Dorian Finney-Smith,BRK,MEM,W,28.0,6,10,0.6,5,8,0.625,0,0,0.0,5,1,6,3,1,0,4,5,17,13.3,2024-11-04
Nic Claxton,BRK,MEM,W,26.63,5,8,0.625,0,0,0.0,0,2,0.0,2,6,8,3,2,1,0,1,10,13.2,2024-11-04
Brook Lopez,MIL,CLE,L,35.72,6,12,0.5,1,5,0.2,0,0,0.0,1,5,6,0,4,2,1,1,13,13.2,2024-11-04
Christian Braun,DEN,TOR,W,36.05,7,11,0.636,1,1,1.0,2,4,0.5,1,3,4,0,1,0,0,2,17,13.1,2024-11-04
Jrue Holiday,BOS,ATL,W,23.5,7,11,0.636,2,6,0.333,0,0,0.0,0,3,3,2,0,1,1,0,16,13.1,2024-11-04
Dennis Schröder,BRK,MEM,W,34.13,7,15,0.467,2,7,0.286,4,5,0.8,0,2,2,6,1,0,3,4,20,13.1,2024-11-04
Jusuf Nurkić,PHO,PHI,W,28.42,5,8,0.625,1,3,0.333,4,6,0.667,1,14,15,2,2,1,5,4,15,13.0,2024-11-04
Ivica Zubac,LAC,SAS,W,36.73,6,17,0.353,0,0,0.0,5,5,1.0,10,3,13,4,0,0,4,3,17,13.0,2024-11-04
Bennedict Mathurin,IND,DAL,W,31.8,7,13,0.538,1,4,0.25,1,3,0.333,0,7,7,3,1,0,0,3,16,12.9,2024-11-04
Karl-Anthony Towns,NYK,HOU,L,32.42,7,17,0.412,0,2,0.0,3,4,0.75,9,10,19,0,0,1,3,4,17,12.9,2024-11-04
Pelle Larsson,MIA,SAC,L,25.37,4,6,0.667,3,5,0.6,2,3,0.667,1,1,2,2,1,0,0,2,13,12.6,2024-11-04
Julius Randle,MIN,CHO,W,25.17,4,10,0.4,1,4,0.25,4,6,0.667,3,1,4,4,2,0,1,1,13,12.6,2024-11-04
Jose Alvarado,NOP,POR,L,33.77,4,14,0.286,3,9,0.333,7,7,1.0,1,0,1,6,0,0,1,3,18,12.5,2024-11-04
Kyshawn George,WAS,GSW,L,37.85,7,19,0.368,6,17,0.353,0,0,0.0,1,5,6,4,1,0,1,5,20,12.5,2024-11-04
Franz Wagner,ORL,OKC,L,34.15,8,17,0.471,1,4,0.25,5,6,0.833,2,2,4,2,2,0,5,2,22,12.5,2024-11-04
Mike Conley,MIN,CHO,W,23.33,4,8,0.5,3,5,0.6,0,0,0.0,1,4,5,4,0,1,0,0,11,12.4,2024-11-04
Josh Giddey,CHI,UTA,L,30.02,5,11,0.455,1,4,0.25,4,5,0.8,0,2,2,7,1,0,3,0,15,12.4,2024-11-04
Josh Hart,NYK,HOU,L,37.83,4,9,0.444,0,2,0.0,4,4,1.0,0,4,4,7,1,0,1,3,12,12.2,2024-11-04
Jeremiah Robinson-Earl,NOP,POR,L,33.93,5,7,0.714,2,4,0.5,0,0,0.0,2,3,5,1,1,0,0,3,12,11.9,2024-11-04
Aaron Wiggins,OKC,ORL,W,17.42,4,9,0.444,1,3,0.333,2,2,1.0,2,3,5,1,3,0,0,1,11,11.9,2024-11-04
Cody Williams,UTA,CHI,W,29.9,5,8,0.625,0,1,0.0,1,4,0.25,2,3,5,4,1,0,0,1,11,11.9,2024-11-04
Grayson Allen,PHO,PHI,W,23.7,3,6,0.5,2,4,0.5,6,6,1.0,1,1,2,0,0,0,0,1,14,11.6,2024-11-04
Jonathan Kuminga,GSW,WAS,W,25.28,7,15,0.467,0,2,0.0,1,4,0.25,3,3,6,2,1,0,0,0,15,11.5,2024-11-04
Chet Holmgren,OKC,ORL,W,21.5,5,10,0.5,1,2,0.5,3,5,0.6,2,7,9,1,0,2,2,1,14,11.4,2024-11-04
Trayce Jackson-Davis,GSW,WAS,W,23.37,6,11,0.545,0,0,0.0,0,0,0.0,1,5,6,3,0,1,0,1,12,11.3,2024-11-04
Donte DiVincenzo,MIN,CHO,W,28.28,5,9,0.556,3,6,0.5,1,1,1.0,0,5,5,3,2,2,4,4,14,11.1,2024-11-04
Rudy Gobert,MIN,CHO,W,29.85,4,5,0.8,0,0,0.0,0,0,0.0,2,6,8,4,0,1,1,2,8,11.0,2024-11-04
Pat Connaughton,MIL,CLE,L,22.48,3,4,0.75,1,1,1.0,0,0,0.0,0,4,4,5,2,0,0,3,7,10.9,2024-11-04
Spencer Dinwiddie,DAL,IND,L,23.03,6,8,0.75,2,3,0.667,0,0,0.0,0,3,3,1,0,0,0,4,14,10.8,2024-11-04
T.J. McConnell,IND,DAL,W,20.1,6,10,0.6,0,0,0.0,0,0,0.0,1,2,3,2,1,1,1,0,12,10.8,2024-11-04
Julian Strawther,DEN,TOR,W,25.63,4,10,0.4,2,4,0.5,3,4,0.75,0,2,2,3,2,1,1,2,13,10.8,2024-11-04
Klay Thompson,DAL,IND,L,33.9,6,12,0.5,4,8,0.5,0,0,0.0,0,2,2,3,0,0,2,0,16,10.7,2024-11-04
Tre Mann,CHO,MIN,L,20.98,4,8,0.5,0,0,0.0,2,2,1.0,1,3,4,6,1,0,1,3,10,10.6,2024-11-04
Ron Holland,DET,LAL,W,16.65,4,9,0.444,0,5,0.0,4,4,1.0,1,3,4,0,2,0,0,1,12,10.5,2024-11-04
Isaiah Joe,OKC,ORL,W,22.45,4,8,0.5,3,6,0.5,2,3,0.667,0,4,4,1,0,0,0,0,13,10.5,2024-11-04
Neemias Queta,BOS,ATL,W,23.18,4,7,0.571,0,0,0.0,2,2,1.0,2,5,7,0,1,1,0,2,10,10.5,2024-11-04
Jalen Wilson,BRK,MEM,W,28.33,5,12,0.417,0,6,0.0,3,4,0.75,1,5,6,4,0,0,0,2,13,10.4,2024-11-04
Jalen Johnson,ATL,BOS,L,30.58,7,20,0.35,2,7,0.286,4,5,0.8,2,9,11,4,1,0,6,0,20,10.3,2024-11-04
Isaiah Stewart,DET,LAL,W,24.7,3,7,0.429,0,0,0.0,2,2,1.0,4,5,9,2,0,2,0,3,8,10.2,2024-11-04
Obi Toppin,IND,DAL,W,24.27,5,8,0.625,1,3,0.333,0,0,0.0,1,5,6,2,0,0,0,2,11,10.2,2024-11-04
Jaren Jackson,MEM,BRK,L,32.43,5,11,0.455,3,5,0.6,2,2,1.0,2,3,5,1,1,2,3,4,15,10.1,2024-11-04
Keegan Murray,SAC,MIA,W,38.78,5,11,0.455,1,4,0.25,3,3,1.0,2,4,6,1,0,1,1,3,14,10.1,2024-11-04
Jake LaRavia,MEM,BRK,L,31.63,2,5,0.4,1,3,0.333,1,2,0.5,1,4,5,6,2,0,1,1,6,9.6,2024-11-04
Caleb Martin,PHI,PHO,L,39.03,2,6,0.333,1,3,0.333,0,0,0.0,3,7,10,5,1,0,0,2,5,9.5,2024-11-04
Sam Merrill,CLE,MIL,W,27.3,5,10,0.5,2,6,0.333,0,0,0.0,0,5,5,2,2,0,2,1,12,9.5,2024-11-04
Garrison Mathews,ATL,BOS,L,26.03,4,5,0.8,2,3,0.667,0,1,0.0,0,0,0,2,0,1,0,1,10,9.4,2024-11-04
Eric Gordon,PHI,PHO,L,17.65,3,6,0.5,2,4,0.5,2,2,1.0,0,1,1,1,1,1,0,1,10,9.3,2024-11-04
Talen Horton-Tucker,CHI,UTA,L,28.32,2,7,0.286,0,3,0.0,6,7,0.857,1,5,6,4,0,0,0,3,10,9.3,2024-11-04
Duncan Robinson,MIA,SAC,L,13.55,3,5,0.6,3,3,1.0,0,0,0.0,0,3,3,3,0,0,0,1,9,9.3,2024-11-04
David Roddy,ATL,BOS,L,29.2,4,7,0.571,1,3,0.333,2,2,1.0,0,6,6,3,0,0,2,1,11,9.2,2024-11-04
Alex Sarr,WAS,GSW,L,26.58,3,10,0.3,0,4,0.0,4,6,0.667,3,8,11,2,0,3,1,3,10,9.2,2024-11-04
Keaton Wallace,ATL,BOS,L,20.7,2,5,0.4,0,1,0.0,2,2,1.0,0,4,4,2,4,2,2,1,6,8.9,2024-11-04
Moses Moody,GSW,WAS,W,14.98,3,7,0.429,1,4,0.25,3,3,1.0,1,0,1,1,1,0,0,0,10,8.7,2024-11-04
Andrew Nembhard,IND,DAL,W,28.8,4,9,0.444,1,2,0.5,2,2,1.0,1,2,3,3,0,0,0,3,11,8.5,2024-11-04
Jamal Shead,TOR,DEN,L,17.45,3,4,0.75,1,1,1.0,1,1,1.0,0,2,2,3,1,0,0,4,8,8.5,2024-11-04
Austin Reaves,LAL,DET,L,39.35,7,17,0.412,3,10,0.3,0,1,0.0,1,3,4,4,2,0,4,4,17,8.3,2024-11-04
Keldon Johnson,SAS,LAC,L,28.13,5,8,0.625,0,0,0.0,0,0,0.0,1,4,5,1,0,0,0,2,10,8.2,2024-11-04
Keon Ellis,SAC,MIA,W,28.62,3,6,0.5,1,3,0.333,0,1,0.0,2,1,3,2,3,0,0,4,7,8.1,2024-11-04
Terry Rozier,MIA,SAC,L,30.07,3,6,0.5,3,6,0.5,1,2,0.5,0,5,5,4,0,0,2,2,10,8.1,2024-11-04
Dillon Brooks,HOU,NYK,W,30.8,4,9,0.444,3,5,0.6,2,2,1.0,2,1,3,0,0,0,0,5,13,8.0,2024-11-04
Yves Missi,NOP,POR,L,26.53,1,1,1.0,0,0,0.0,2,2,1.0,2,5,7,3,0,0,0,2,4,7.9,2024-11-04
Deni Avdija,POR,NOP,W,20.75,2,5,0.4,0,1,0.0,3,4,0.75,2,4,6,3,0,0,0,2,7,7.8,2024-11-04
Tobias Harris,DET,LAL,W,30.05,7,15,0.467,1,7,0.143,0,0,0.0,0,7,7,1,1,1,2,5,15,7.8,2024-11-04
Kentavious Caldwell-Pope,ORL,OKC,L,30.82,1,7,0.143,1,4,0.25,3,3,1.0,0,5,5,2,4,1,1,1,6,7.7,2024-11-04
Patty Mills,UTA,CHI,W,12.88,1,3,0.333,1,3,0.333,3,3,1.0,0,1,1,5,0,0,0,1,6,7.7,2024-11-04
Georges Niang,CLE,MIL,W,26.32,3,6,0.5,3,6,0.5,0,0,0.0,0,4,4,2,1,0,0,5,9,7.6,2024-11-04
Jared Butler,WAS,GSW,L,7.87,3,4,0.75,0,1,0.0,1,1,1.0,0,0,0,3,0,0,0,0,7,7.5,2024-11-04
Daniel Gafford,DAL,IND,L,15.13,3,3,1.0,0,0,0.0,2,2,1.0,1,3,4,0,0,0,0,3,8,7.5,2024-11-04
Jalen Green,HOU,NYK,W,31.62,5,15,0.333,2,8,0.25,3,3,1.0,0,4,4,3,1,0,3,1,15,7.4,2024-11-04
Kevin Porter,LAC,SAS,W,19.47,3,10,0.3,0,2,0.0,0,0,0.0,2,6,8,7,1,0,2,0,6,7.3,2024-11-04
Stephon Castle,SAS,LAC,L,19.92,4,10,0.4,0,3,0.0,3,4,0.75,1,3,4,1,0,1,1,0,11,7.2,2024-11-04
Harrison Barnes,SAS,LAC,L,37.57,1,4,0.25,0,3,0.0,2,2,1.0,5,1,6,3,0,0,0,1,4,7.1,2024-11-04
Donovan Mitchell,CLE,MIL,W,31.08,5,15,0.333,3,7,0.429,1,2,0.5,0,4,4,4,2,0,4,0,14,7.1,2024-11-04
LaMelo Ball,CHO,MIN,L,24.6,6,15,0.4,2,8,0.25,5,7,0.714,0,2,2,2,1,0,5,3,19,6.9,2024-11-04
Kris Dunn,LAC,SAS,W,25.43,4,9,0.444,2,5,0.4,1,2,0.5,0,3,3,1,0,2,0,5,11,6.9,2024-11-04
Devin Booker,PHO,PHI,W,38.22,3,18,0.167,0,6,0.0,7,7,1.0,2,1,3,6,1,1,2,1,13,6.8,2024-11-04
Zaccharie Risacher,ATL,BOS,L,30.13,6,15,0.4,1,6,0.167,2,2,1.0,1,2,3,2,0,0,2,2,15,6.8,2024-11-04
Ty Jerome,CLE,MIL,W,18.73,3,4,0.75,0,1,0.0,0,1,0.0,0,0,0,1,2,0,0,0,6,6.7,2024-11-04
Gary Payton,GSW,WAS,W,16.38,3,3,1.0,0,0,0.0,0,0,0.0,1,2,3,3,0,0,1,2,6,6.7,2024-11-04
Scotty Pippen ,MEM,BRK,L,31.05,6,13,0.462,2,6,0.333,0,0,0.0,0,4,4,3,0,0,2,5,14,6.6,2024-11-04
Moritz Wagner,ORL,OKC,L,21.27,2,5,0.4,0,2,0.0,5,6,0.833,0,7,7,1,2,1,4,2,9,6.6,2024-11-04
Patrick Williams,CHI,UTA,L,26.73,5,11,0.455,3,6,0.5,0,0,0.0,0,2,2,2,0,1,1,6,13,6.6,2024-11-04
RJ Barrett,TOR,DEN,L,32.6,5,21,0.238,2,11,0.182,4,5,0.8,1,5,6,10,1,0,5,4,16,6.5,2024-11-04
Kelly Oubre,PHI,PHO,L,32.48,4,10,0.4,1,5,0.2,2,2,1.0,1,3,4,1,2,0,1,6,11,6.5,2024-11-04
D'Angelo Russell,LAL,DET,L,33.03,4,14,0.286,2,5,0.4,1,2,0.5,1,2,3,8,1,0,3,2,11,6.5,2024-11-04
Rui Hachimura,LAL,DET,L,34.77,2,6,0.333,2,2,1.0,2,2,1.0,0,4,4,1,0,1,0,2,8,6.4,2024-11-04
Kyle Anderson,GSW,WAS,W,15.92,1,3,0.333,0,0,0.0,4,6,0.667,1,2,3,1,0,2,0,2,6,6.1,2024-11-04
Santi Aldama,MEM,BRK,L,31.28,4,12,0.333,0,6,0.0,1,1,1.0,2,4,6,5,0,0,2,1,9,5.9,2024-11-04
Johnny Juzang,UTA,CHI,W,18.2,3,6,0.5,2,5,0.4,0,0,0.0,0,1,1,2,0,0,0,2,8,5.9,2024-11-04
Kyle Filipowski,UTA,CHI,W,17.22,3,5,0.6,1,2,0.5,0,0,0.0,1,4,5,2,0,0,1,3,7,5.8,2024-11-04
Kevon Looney,GSW,WAS,W,17.97,2,6,0.333,0,0,0.0,0,0,0.0,5,5,10,2,0,0,0,3,4,5.8,2024-11-04
Jalen Smith,CHI,UTA,L,15.12,3,9,0.333,2,5,0.4,0,0,0.0,2,1,3,1,1,1,0,3,8,5.8,2024-11-04
Miles Bridges,CHO,MIN,L,25.0,4,13,0.308,1,6,0.167,1,2,0.5,1,5,6,4,0,0,1,1,10,5.7,2024-11-04
Mikal Bridges,NYK,HOU,L,40.35,6,14,0.429,3,8,0.375,0,1,0.0,1,2,3,0,1,0,4,0,15,5.5,2024-11-04
Cam Thomas,BRK,MEM,W,33.58,6,17,0.353,0,4,0.0,1,1,1.0,0,2,2,6,1,0,3,2,13,5.5,2024-11-04
Tari Eason,HOU,NYK,W,24.7,3,7,0.429,0,2,0.0,1,2,0.5,2,3,5,1,0,1,0,3,7,5.4,2024-11-04
Cody Martin,CHO,MIN,L,19.02,2,4,0.5,0,1,0.0,2,2,1.0,0,3,3,1,2,0,1,3,6,5.4,2024-11-04
Jared Rhoden,CHO,MIN,L,6.88,2,4,0.5,0,1,0.0,0,0,0.0,1,1,2,2,1,0,0,0,4,5.4,2024-11-04
Dyson Daniels,ATL,BOS,L,23.75,4,9,0.444,0,1,0.0,0,0,0.0,0,2,2,3,1,0,1,2,8,5.2,2024-11-04
Taj Gibson,CHO,MIN,L,16.1,2,4,0.5,1,2,0.5,0,0,0.0,1,3,4,0,1,0,0,1,5,5.2,2024-11-04
Sam Hauser,BOS,ATL,W,19.5,4,11,0.364,2,8,0.25,0,0,0.0,1,1,2,1,1,0,1,1,10,5.2,2024-11-04
Andre Jackson,MIL,CLE,L,24.92,2,7,0.286,2,5,0.4,1,2,0.5,1,6,7,2,0,1,2,0,7,5.1,2024-11-04
Shake Milton,BRK,MEM,W,11.53,1,2,0.5,1,2,0.5,2,2,1.0,2,2,4,0,0,0,1,0,5,5.0,2024-11-04
Mason Plumlee,PHO,PHI,W,14.35,2,3,0.667,0,0,0.0,1,2,0.5,1,2,3,1,0,0,0,1,5,4.9,2024-11-04
Rayan Rupert,POR,NOP,W,18.65,3,5,0.6,0,1,0.0,0,1,0.0,1,1,2,0,1,0,0,1,6,4.9,2024-11-04
Jonathan Mogbo,TOR,DEN,L,20.57,2,4,0.5,0,0,0.0,0,2,0.0,3,3,6,2,0,0,0,2,4,4.8,2024-11-04
Grant Williams,CHO,MIN,L,21.75,2,4,0.5,1,3,0.333,0,0,0.0,0,3,3,1,2,0,1,2,5,4.8,2024-11-04
Derrick Jones,LAC,SAS,W,21.78,4,10,0.4,2,6,0.333,0,1,0.0,1,1,2,2,0,1,1,4,10,4.7,2024-11-04
Jaylen Nowell,NOP,POR,L,23.17,4,12,0.333,2,4,0.5,1,2,0.5,1,1,2,1,1,0,1,2,11,4.7,2024-11-04
Jaxson Hayes,LAL,DET,L,9.18,2,5,0.4,0,0,0.0,1,3,0.333,3,0,3,0,1,0,0,0,5,4.6,2024-11-04
Paul George,PHI,PHO,L,31.6,4,14,0.286,1,7,0.143,6,7,0.857,0,5,5,4,1,0,6,3,15,4.5,2024-11-04
Andre Drummond,PHI,PHO,L,15.05,3,5,0.6,0,0,0.0,2,2,1.0,0,5,5,0,3,0,5,2,8,4.4,2024-11-04
Luke Kornet,BOS,ATL,W,15.67,1,2,0.5,0,0,0.0,0,0,0.0,2,5,7,0,1,1,0,3,2,4.4,2024-11-04
Brandon Miller,CHO,MIN,L,21.17,3,10,0.3,2,7,0.286,2,2,1.0,0,2,2,1,0,1,1,2,10,4.4,2024-11-04
Malik Monk,SAC,MIA,W,24.33,6,11,0.545,0,3,0.0,0,0,0.0,0,1,1,0,0,0,1,4,12,4.4,2024-11-04
Steven Adams,HOU,NYK,W,13.65,1,4,0.25,0,0,0.0,2,4,0.5,3,2,5,3,0,0,1,1,4,4.2,2024-11-04
Zach Collins,SAS,LAC,L,13.9,0,5,0.0,0,3,0.0,4,4,1.0,2,1,3,1,2,0,0,2,4,4.1,2024-11-04
